"concept_code","c_name"
"C83.13","C83.13 Mantle Cell Lymphoma, Intra-Abdominal Lymph Nodes"
"C84.A0","C84.A0 Cutaneous T-Cell Lymphoma, Unspecified, Unspecified Site"
"C85.90","C85.90 Non-Hodgkin Lymphoma, Unspecified, Unspecified Site"
"C85.98","C85.98 Non-Hodgkin Lymphoma, Unspecified, Lymph Nodes Of Multiple Sites"
"C90.30","C90.30 Solitary Plasmacytoma Not Having Achieved Remission"
"C91.50","C91.50 Adult T-Cell Lymphoma/Leukemia (Htlv-1-Associated) Not Having Achieved Remission"
"A03.9","A03.9 Shigellosis, Unspecified"
"A08.4","A08.4 Viral Intestinal Infection, Unspecified"
"A15.9","A15.9 Respiratory Tuberculosis Unspecified"
"A41.01","A41.01 Sepsis Due To Methicillin Susceptible Staphylococcus Aureus"
"A41.2","A41.2 Sepsis Due To Unspecified Staphylococcus"
"A41.50","A41.50 Gram-Negative Sepsis, Unspecified"
"A46","A46 Erysipelas"
"A53.0","A53.0 Latent Syphilis, Unspecified As Early Or Late"
"A54.6","A54.6 Gonococcal Infection Of Anus And Rectum"
"A69.20","A69.20 Lyme Disease, Unspecified"
"A81.09","A81.09 Other Creutzfeldt-Jakob Disease"
"B00.2","B00.2 Herpesviral Gingivostomatitis And Pharyngotonsillitis"
"B01.9","B01.9 Varicella Without Complication"
"B02.0","B02.0 Zoster Encephalitis"
"B07.0","B07.0 Plantar Wart"
"B15.9","B15.9 Hepatitis A Without Hepatic Coma"
"B17.10","B17.10 Acute Hepatitis C Without Hepatic Coma"
"B25.8","B25.8 Other Cytomegaloviral Diseases"
"B33.22","B33.22 Viral Myocarditis"
"B34.9","B34.9 Viral Infection, Unspecified"
"B37.9","B37.9 Candidiasis, Unspecified"
"B85.0","B85.0 Pediculosis Due To Pediculus Humanus Capitis"
"B95.3","B95.3 Streptococcus Pneumoniae As The Cause Of Diseases Classified Elsewhere"
"B95.4","B95.4 Other Streptococcus As The Cause Of Diseases Classified Elsewhere"
"B95.7","B95.7 Other Staphylococcus As The Cause Of Diseases Classified Elsewhere"
"C06.9","C06.9 Malignant Neoplasm Of Mouth, Unspecified"
"C15.9","C15.9 Malignant Neoplasm Of Esophagus, Unspecified"
"C25.1","C25.1 Malignant Neoplasm Of Body Of Pancreas"
"C34.00","C34.00 Malignant Neoplasm Of Main Bronchus, Unspecified Side"
"C34.10","C34.10 Malignant Neoplasm Of Upper Lobe, Bronchus Or Lung, Unspecified Side"
"C34.92","C34.92 Malignant Neoplasm Of Left Bronchus Or Lung, Unspecified"
"C38.4","C38.4 Malignant Neoplasm Of Pleura"
"C40.01","C40.01 Malignant Neoplasm Of Scapula And Long Bones Of Right Upper Limb"
"C40.31","C40.31 Malignant Neoplasm Of Short Bones Of Right Lower Limb"
"C41.0","C41.0 Malignant Neoplasm Of Bones Of Skull And Face"
"C43.71","C43.71 Malignant Melanoma Of Right Lower Limb, Including Hip"
"C44.01","C44.01 Basal Cell Carcinoma Of Skin Of Lip"
"C44.311","C44.311 Basal Cell Carcinoma Of Skin Of Nose"
"C44.319","C44.319 Basal Cell Carcinoma Of Skin Of Other Parts Of Face"
"C44.621","C44.621 Squamous Cell Carcinoma Of Skin Of Unspecified Upper Limb, Including Shoulder"
"C44.709","C44.709 Unspecified Malignant Neoplasm Of Skin Of Left Lower Limb, Including Hip"
"C49.5","C49.5 Malignant Neoplasm Of Connective And Soft Tissue Of Pelvis"
"C50.922","C50.922 Malignant Neoplasm Of Unspecified Site Of Left Male Breast"
"C55","C55 Malignant Neoplasm Of Uterus, Part Unspecified"
"C67.4","C67.4 Malignant Neoplasm Of Posterior Wall Of Bladder"
"C69.91","C69.91 Malignant Neoplasm Of Right Eye, Unspecified"
"C70.0","C70.0 Malignant Neoplasm Of Cerebral Meninges"
"C71.1","C71.1 Malignant Neoplasm Of Frontal Lobe"
"C72.50","C72.50 Malignant Neoplasm Of Unspecified Cranial Nerve"
"C74.00","C74.00 Malignant Neoplasm Of Cortex Of Adrenal Gland, Unspecified Side"
"C76.0","C76.0 Malignant Neoplasm Of Head, Face And Neck"
"C79.60","C79.60 Secondary Malignant Neoplasm Of Ovary, Unspecified Side"
"C7B.09","C7B.09 Secondary Carcinoid Tumors Of Other Sites"
"C7B.8","C7B.8 Other Secondary Neuroendocrine Tumors"
"C83.02","C83.02 Small Cell B-Cell Lymphoma, Intrathoracic Lymph Nodes"
"C83.08","C83.08 Small Cell B-Cell Lymphoma, Lymph Nodes Of Multiple Sites"
"C83.31","C83.31 Diffuse Large B-Cell Lymphoma, Lymph Nodes Of Head, Face, And Neck"
"C83.39","C83.39 Diffuse Large B-Cell Lymphoma, Extranodal And Solid Organ Sites"
"C84.19","C84.19 S?zary Disease, Extranodal And Solid Organ Sites"
"C84.68","C84.68 Anaplastic Large Cell Lymphoma, Alk-Positive, Lymph Nodes Of Multiple Sites"
"C84.69","C84.69 Anaplastic Large Cell Lymphoma, Alk-Positive, Extranodal And Solid Organ Sites"
"C84.A9","C84.A9 Cutaneous T-Cell Lymphoma, Unspecified, Extranodal And Solid Organ Sites"
"C85.11","C85.11 Unspecified B-Cell Lymphoma, Lymph Nodes Of Head, Face, And Neck"
"C85.12","C85.12 Unspecified B-Cell Lymphoma, Intrathoracic Lymph Nodes"
"C85.88","C85.88 Other Specified Types Of Non-Hodgkin Lymphoma, Lymph Nodes Of Multiple Sites"
"C85.91","C85.91 Non-Hodgkin Lymphoma, Unspecified, Lymph Nodes Of Head, Face, And Neck"
"C88.9","C88.9 Malignant Immunoproliferative Disease, Unspecified"
"C92.40","C92.40 Acute Promyelocytic Leukemia, Not Having Achieved Remission"
"C92.A1","C92.A1 Acute Myeloid Leukemia With Multilineage Dysplasia, In Remission"
"C95.01","C95.01 Acute Leukemia Of Unspecified Cell Type, In Remission"
"D03.62","D03.62 Melanoma In Situ Of Left Upper Limb, Including Shoulder"
"D06.9","D06.9 Carcinoma In Situ Of Cervix, Unspecified"
"D12.4","D12.4 Benign Neoplasm Of Descending Colon"
"D12.7","D12.7 Benign Neoplasm Of Rectosigmoid Junction"
"D12.8","D12.8 Benign Neoplasm Of Rectum"
"D18.1","D18.1 Lymphangioma, Any Site"
"D22.61","D22.61 Melanocytic Nevi Of Right Upper Limb, Including Shoulder"
"D23.39","D23.39 Other Benign Neoplasm Of Skin Of Other Parts Of Face"
"D23.62","D23.62 Other Benign Neoplasm Of Skin Of Left Upper Limb, Including Shoulder"
"D25.0","D25.0 Submucous Leiomyoma Of Uterus"
"A04.5","A04.5 Campylobacter Enteritis"
"A04.8","A04.8 Other Specified Bacterial Intestinal Infections"
"A07.8","A07.8 Other Specified Protozoal Intestinal Diseases"
"A08.0","A08.0 Rotaviral Enteritis"
"A08.11","A08.11 Acute Gastroenteropathy Due To Norwalk Agent"
"A39.81","A39.81 Meningococcal Encephalitis"
"A41.1","A41.1 Sepsis Due To Other Specified Staphylococcus"
"A41.89","A41.89 Other Specified Sepsis"
"A41.9","A41.9 Sepsis, Unspecified"
"A43.8","A43.8 Other Forms Of Nocardiosis"
"A49.1","A49.1 Streptococcal Infection, Unspecified Site"
"A55","A55 Chlamydial Lymphogranuloma (Venereum)"
"A60.00","A60.00 Herpesviral Infection Of Urogenital System, Unspecified"
"A69.23","A69.23 Arthritis Due To Lyme Disease"
"A81.2","A81.2 Progressive Multifocal Leukoencephalopathy"
"B02.22","B02.22 Postherpetic Trigeminal Neuralgia"
"B27.89","B27.89 Other Infectious Mononucleosis With Other Complication"
"B35.3","B35.3 Tinea Pedis"
"B36.8","B36.8 Other Specified Superficial Mycoses"
"B36.9","B36.9 Superficial Mycosis, Unspecified"
"B39.9","B39.9 Histoplasmosis, Unspecified"
"B46.0","B46.0 Pulmonary Mucormycosis"
"B57.2","B57.2 Chagas' Disease (Chronic) With Heart Involvement"
"B89","B89 Unspecified Parasitic Disease"
"B96.3","B96.3 Hemophilus Influenzae [H. Influenzae] As The Cause Of Diseases Classified Elsewhere"
"B97.29","B97.29 Other Coronavirus As The Cause Of Diseases Classified Elsewhere"
"C02.3","C02.3 Malignant Neoplasm Of Anterior Two-Thirds Of Tongue, Part Unspecified"
"C06.2","C06.2 Malignant Neoplasm Of Retromolar Area"
"C10.8","C10.8 Malignant Neoplasm Of Overlapping Sites Of Oropharynx"
"C15.4","C15.4 Malignant Neoplasm Of Middle Third Of Esophagus"
"C18.2","C18.2 Malignant Neoplasm Of Ascending Colon"
"C18.3","C18.3 Malignant Neoplasm Of Hepatic Flexure"
"C30.0","C30.0 Malignant Neoplasm Of Nasal Cavity"
"C31.9","C31.9 Malignant Neoplasm Of Accessory Sinus, Unspecified"
"C32.9","C32.9 Malignant Neoplasm Of Larynx, Unspecified"
"C34.2","C34.2 Malignant Neoplasm Of Middle Lobe, Right Bronchus Or Lung"
"C34.90","C34.90 Malignant Neoplasm Of Bronchus Or Lung, Unspecified, Unspecified Side"
"C43.72","C43.72 Malignant Melanoma Of Left Lower Limb, Including Hip"
"C43.8","C43.8 Overlapping Malignant Melanoma Of Skin"
"C44.42","C44.42 Squamous Cell Carcinoma Of Skin Of Scalp And Neck"
"C44.629","C44.629 Squamous Cell Carcinoma Of Skin Of Left Upper Limb, Including Shoulder"
"C45.0","C45.0 Mesothelioma Of Pleura"
"C48.1","C48.1 Malignant Neoplasm Of Specified Parts Of Peritoneum"
"C49.22","C49.22 Malignant Neoplasm Of Connective And Soft Tissue Of Left Lower Limb, Including Hip"
"C49.4","C49.4 Malignant Neoplasm Of Connective And Soft Tissue Of Abdomen"
"C50.011","C50.011 Malignant Neoplasm Of Nipple And Areola, Right Female Breast"
"C50.111","C50.111 Malignant Neoplasm Of Central Portion Of Right Female Breast"
"C53.1","C53.1 Malignant Neoplasm Of Exocervix"
"C62.92","C62.92 Malignant Neoplasm Of Left Testis, Unspecified"
"C64.2","C64.2 Malignant Neoplasm Of Left Kidney, Except Renal Pelvis"
"C67.8","C67.8 Malignant Neoplasm Of Overlapping Sites Of Bladder"
"C68.0","C68.0 Malignant Neoplasm Of Urethra"
"C71.7","C71.7 Malignant Neoplasm Of Brain Stem"
"C71.8","C71.8 Malignant Neoplasm Of Overlapping Sites Of Brain"
"C71.9","C71.9 Malignant Neoplasm Of Brain, Unspecified"
"C74.90","C74.90 Malignant Neoplasm Of Adrenal Gland, Unspecified, Unspecified Side"
